ÅS∫≈	ÕÍ◊ÍæÆ…Ó	≤π–ƒ∫£∞Œ	∂œøÈ	µÿ≤„√˚≥∆	…∞≤„◊È	∂•…Ó	ÕÍ◊ÍæÆ…Ó
”¢11-1-B6	1760	3141.66	C	N22	K29	715	769
”¢11-1-B6	1760	3141.66	C	N22	K210	769	830
”¢11-1-B6	1760	3141.66	C	N22	K211	830	867
”¢11-1-B6	1760	3141.66	C	N22	K212	867	932
”¢11-1-B6	1760	3141.66	C	N22	K3	932	990
”¢11-1-B6	1760	3141.66	C	N21	K31	990	1046
”¢11-1-B6	1760	3141.66	C	N21	K32	1046	1089
”¢11-1-B6	1760	3141.66	C	N21	K33	1089	1132
”¢11-1-B6	1760	3141.66	C	N21	K34	1132	1174
”¢11-1-B6	1760	3141.66	C	N21	K35	1174	1237
”¢11-1-B6	1760	3141.66	B	N21	K3	1237	1295
”¢11-1-B6	1760	3141.66	B	N21	K31	1295	1354
”¢11-1-B6	1760	3141.66	B	N21	K32	1354	1409
”¢11-1-B6	1760	3141.66	B	N21	K33	1409	1460
”¢11-1-B6	1760	3141.66	B	N21	K34	1460	1516
”¢11-1-B6	1760	3141.66	B	N21	K35	1516	1598
”¢11-1-B6	1760	3141.66	A	N21	K36	1598	1682
”¢11-1-B6	1760	3141.66	A	N21	K37	1682	1760
”¢11-2	2400	3114.4	C	N22	K28	632	698
”¢11-2	2400	3114.4	C	N22	K29	698	746
”¢11-2	2400	3114.4	C	N22	K210	746	806
”¢11-2	2400	3114.4	C	N22	K211	806	843
”¢11-2	2400	3114.4	C	N22	K212	843	910
”¢11-2	2400	3114.4	C	N21	K3	910	964
”¢11-2	2400	3114.4	C	N21	K31	964	1023
”¢11-2	2400	3114.4	C	N21	K32	1023	1071
”¢11-2	2400	3114.4	C	N21	K33	1071	1124
”¢11-2	2400	3114.4	C	N21	K34	1124	1193
”¢11-2	2400	3114.4	B	N22	K211	1193	1233
”¢11-2	2400	3114.4	B	N22	K212	1233	1292
”¢11-2	2400	3114.4	B	N22	K3	1292	1352
”¢11-2	2400	3114.4	B	N21	K31	1352	1408
”¢11-2	2400	3114.4	B	N21	K32	1408	1457
”¢11-2	2400	3114.4	B	N21	K33	1457	1509
”¢11-2	2400	3114.4	B	N21	K34	1509	1552
”¢11-2	2400	3114.4	B	N21	K35	1552	1622
”¢11-2	2400	3114.4	B	N21	K36	1622	1738
”¢11-2	2400	3114.4	A	N21	K37	1738	1825
”¢11-2	2400	3114.4	A	N21	K4	1825	1888
”¢11-2	2400	3114.4	A	N21	K41	1888	1943
”¢11-2	2400	3114.4	A	N21	K42	1943	2007
”¢11-2	2400	3114.4	A	N21	K43	2007	2064
”¢11-2	2400	3114.4	A	N21	K44	2064	2145
”¢11-2	2400	3114.4	A	N21	K45	2145	2236
”¢11-2	2400	3114.4	A	N21	K46	2236	2324
”¢11-2	2400	3114.4	A	N21	K47	2324	2400
”¢11-2-B4	1630	3113.2	C	N22	K28	632	698
”¢11-2-B4	1630	3113.2	C	N22	K29	698	746
”¢11-2-B4	1630	3113.2	C	N22	K210	746	806
”¢11-2-B4	1630	3113.2	C	N22	K211	806	842
”¢11-2-B4	1630	3113.2	C	N22	K212	842	910
”¢11-2-B4	1630	3113.2	C	N21	K3	910	965
”¢11-2-B4	1630	3113.2	C	N21	K31	965	1022
”¢11-2-B4	1630	3113.2	C	N21	K32	1022	1069
”¢11-2-B4	1630	3113.2	C	N21	K33	1069	1121
”¢11-2-B4	1630	3113.2	C	N21	K34	1121	1143
”¢11-2-B4	1630	3113.2	B	N22	K210	1143	1200
”¢11-2-B4	1630	3113.2	B	N22	K211	1200	1237
”¢11-2-B4	1630	3113.2	B	N22	K212	1237	1296
”¢11-2-B4	1630	3113.2	B	N22	K3	1296	1355
”¢11-2-B4	1630	3113.2	B	N21	K31	1355	1410
”¢11-2-B4	1630	3113.2	B	N21	K32	1410	1455
”¢11-2-B4	1630	3113.2	B	N21	K33	1455	1502
”¢11-2-B4	1630	3113.2	B	N21	K34	1502	1539
”¢11-2-B4	1630	3113.2	B	N21	K35	1539	1611
”¢11-2-B4	1630	3113.2	B	N21	K36	1611	1630
”¢11-3-B6	1730	3135.49	C	N22	K26	554	605
”¢11-3-B6	1730	3135.49	C	N22	K27	605	657
”¢11-3-B6	1730	3135.49	C	N22	K28	657	722
”¢11-3-B6	1730	3135.49	C	N22	K29	722	773
”¢11-3-B6	1730	3135.49	C	N22	K210	773	832
”¢11-3-B6	1730	3135.49	C	N22	K211	832	871
”¢11-3-B6	1730	3135.49	C	N22	K212	871	934
”¢11-3-B6	1730	3135.49	C	N22	K3	934	991
”¢11-3-B6	1730	3135.49	C	N21	K31	991	1047
”¢11-3-B6	1730	3135.49	C	N21	K32	1047	1093
”¢11-3-B6	1730	3135.49	C	N21	K33	1093	1144
”¢11-3-B6	1730	3135.49	C	N21	K34	1144	1192
”¢11-3-B6	1730	3135.49	C	N21	K35	1192	1257
”¢11-3-B6	1730	3135.49	C	N21	K36	1257	1331
”¢11-3-B6	1730	3135.49	C	N21	K37	1331	1370
”¢11-3-B6	1730	3135.49	B	N21	K32	1370	1418
”¢11-3-B6	1730	3135.49	B	N21	K33	1418	1469
”¢11-3-B6	1730	3135.49	B	N21	K34	1469	1512
”¢11-3-B6	1730	3135.49	B	N21	K35	1512	1584
”¢11-3-B6	1730	3135.49	B	N21	K36	1584	1660
”¢11-3-B6	1730	3135.49	B	N21	K37	1660	1730
”¢11-4-A5	1640	3093.25	C	N22	K26	517	569
”¢11-4-A5	1640	3093.25	C	N22	K27	569	615
”¢11-4-A5	1640	3093.25	C	N22	K28	615	669
”¢11-4-A5	1640	3093.25	C	N22	K29	669	725
”¢11-4-A5	1640	3093.25	C	N22	K210	725	779
”¢11-4-A5	1640	3093.25	C	N22	K211	779	826
”¢11-4-A5	1640	3093.25	C	N22	K212	826	886
”¢11-4-A5	1640	3093.25	C	N21	K3	886	964
”¢11-4-A5	1640	3093.25	B	N22	K27	964	1012
”¢11-4-A5	1640	3093.25	B	N22	K28	1012	1075
”¢11-4-A5	1640	3093.25	B	N22	K29	1075	1121
”¢11-4-A5	1640	3093.25	B	N22	K210	1121	1181
”¢11-4-A5	1640	3093.25	B	N22	K211	1181	1223
”¢11-4-A5	1640	3093.25	B	N22	K212	1223	1281
”¢11-4-A5	1640	3093.25	B	N21	K3	1281	1380
”¢11-4-A5	1640	3093.25	A	N21	K31	1380	1438
”¢11-4-A5	1640	3093.25	A	N21	K32	1438	1487
”¢11-4-A5	1640	3093.25	A	N21	K33	1487	1546
”¢11-4-A5	1640	3093.25	A	N21	K34	1546	1593
”¢11-4-A5	1640	3093.25	A	N21	K35	1593	1640
”¢11-4-A6	1860	3092.25	C	N22	K26	516	569
”¢11-4-A6	1860	3092.25	C	N22	K27	569	614
”¢11-4-A6	1860	3092.25	C	N22	K28	614	667
”¢11-4-A6	1860	3092.25	C	N22	K29	667	723
”¢11-4-A6	1860	3092.25	C	N22	K210	723	778
”¢11-4-A6	1860	3092.25	C	N22	K211	778	823
”¢11-4-A6	1860	3092.25	C	N22	K212	823	886
”¢11-4-A6	1860	3092.25	C	N21	K3	886	896
”¢11-4-A6	1860	3092.25	B	N22	K26	896	965
”¢11-4-A6	1860	3092.25	B	N22	K27	965	1013
”¢11-4-A6	1860	3092.25	B	N22	K28	1013	1076
”¢11-4-A6	1860	3092.25	B	N22	K29	1076	1123
”¢11-4-A6	1860	3092.25	B	N22	K210	1123	1182
”¢11-4-A6	1860	3092.25	B	N22	K211	1182	1224
”¢11-4-A6	1860	3092.25	B	N22	K212	1224	1284
”¢11-4-A6	1860	3092.25	B	N21	K3	1284	1338
”¢11-4-A6	1860	3092.25	A	N21	K3	1338	1382
”¢11-4-A6	1860	3092.25	A	N21	K31	1382	1440
”¢11-4-A6	1860	3092.25	A	N21	K32	1440	1491
”¢11-4-A6	1860	3092.25	A	N21	K33	1491	1546
”¢11-4-A6	1860	3092.25	A	N21	K34	1546	1594
”¢11-4-A6	1860	3092.25	A	N21	K35	1594	1665
”¢11-4-A6	1860	3092.25	A	N21	K36	1665	1735
”¢11-4-A6	1860	3092.25	A	N21	K37	1735	1806
”¢11-4-A6	1860	3092.25	A	N21	K4	1806	1860
”¢11-4-B1	1130	3093.25	C	N22	K26	516	570
”¢11-4-B1	1130	3093.25	C	N22	K27	570	616
”¢11-4-B1	1130	3093.25	C	N22	K28	616	668
”¢11-4-B1	1130	3093.25	C	N22	K29	668	726
”¢11-4-B1	1130	3093.25	C	N22	K210	726	779
”¢11-4-B1	1130	3093.25	C	N22	K211	779	826
”¢11-4-B1	1130	3093.25	C	N22	K212	826	961
”¢11-4-B1	1130	3093.25	B	N22	K27	961	1010
”¢11-4-B1	1130	3093.25	B	N22	K28	1010	1072
”¢11-4-B1	1130	3093.25	B	N22	K29	1072	1130
”¢11-4-B4	1370	3093.25	C	N22	K26	516	570
”¢11-4-B4	1370	3093.25	C	N22	K27	570	615
”¢11-4-B4	1370	3093.25	C	N22	K28	615	667
”¢11-4-B4	1370	3093.25	C	N22	K29	667	725
”¢11-4-B4	1370	3093.25	C	N22	K210	725	779
”¢11-4-B4	1370	3093.25	C	N22	K211	779	825
”¢11-4-B4	1370	3093.25	C	N22	K212	825	962
”¢11-4-B4	1370	3093.25	B	N22	K27	962	1011
”¢11-4-B4	1370	3093.25	B	N22	K28	1011	1073
”¢11-4-B4	1370	3093.25	B	N22	K29	1073	1120
”¢11-4-B4	1370	3093.25	B	N22	K210	1120	1179
”¢11-4-B4	1370	3093.25	B	N22	K211	1179	1222
”¢11-4-B4	1370	3093.25	B	N22	K212	1222	1278
”¢11-4-B4	1370	3093.25	B	N21	K3	1278	1370
”¢11-6-A1	1110	3062.97	C	N22	K25	447	528
”¢11-6-A1	1110	3062.97	C	N22	K26	528	579
”¢11-6-A1	1110	3062.97	C	N22	K27	579	629
”¢11-6-A1	1110	3062.97	C	N22	K28	629	668
”¢11-6-A1	1110	3062.97	B	N22	K23	668	722
”¢11-6-A1	1110	3062.97	B	N22	K24	722	834
”¢11-6-A1	1110	3062.97	B	N22	K25	834	923
”¢11-6-A1	1110	3062.97	B	N22	K26	923	978
”¢11-6-A1	1110	3062.97	B	N22	K27	978	1022
”¢11-6-A1	1110	3062.97	B	N22	K28	1022	1080
”¢11-6-A1	1110	3062.97	B	N22	K29	1080	1110
”¢11-6-A4	1470	3062.97	C	N22	K25	448	529
”¢11-6-A4	1470	3062.97	C	N22	K26	529	581
”¢11-6-A4	1470	3062.97	C	N22	K27	581	631
”¢11-6-A4	1470	3062.97	C	N22	K28	631	661
”¢11-6-A4	1470	3062.97	A	N22	K23	661	724
”¢11-6-A4	1470	3062.97	A	N22	K24	724	833
”¢11-6-A4	1470	3062.97	A	N22	K25	833	920
”¢11-6-A4	1470	3062.97	A	N22	K26	920	976
”¢11-6-A4	1470	3062.97	A	N22	K27	976	1022
”¢11-6-A4	1470	3062.97	A	N22	K28	1022	1080
”¢11-6-A4	1470	3062.97	A	N22	K29	1080	1132
”¢11-6-A4	1470	3062.97	A	N22	K210	1132	1186
”¢11-6-A4	1470	3062.97	A	N22	K211	1186	1257.5
”¢11-6-A4	1470	3062.97	A	N22	K212	1257.5	1318
”¢11-6-A4	1470	3062.97	A	N21	K3	1318	1376
”¢11-6-A4	1470	3062.97	A	N21	K31	1376	1438
”¢11-6-A4	1470	3062.97	A	N21	K32	1438	1470
”¢11-6-A6	2315	3062.97	C	N22	K25	448	528
”¢11-6-A6	2315	3062.97	C	N22	K26	528	580
”¢11-6-A6	2315	3062.97	C	N22	K27	580	630
”¢11-6-A6	2315	3062.97	C	N22	K28	630	660
”¢11-6-A6	2315	3062.97	B	N22	K23	660	738
”¢11-6-A6	2315	3062.97	B	N22	K24	738	845
”¢11-6-A6	2315	3062.97	B	N22	K25	845	932
”¢11-6-A6	2315	3062.97	B	N22	K26	932	978
”¢11-6-A6	2315	3062.97	B	N22	K27	978	1026
”¢11-6-A6	2315	3062.97	B	N22	K28	1026	1079
”¢11-6-A6	2315	3062.97	B	N22	K29	1079	1129
”¢11-6-A6	2315	3062.97	B	N22	K210	1129	1189
”¢11-6-A6	2315	3062.97	A	N22	K211	1189	1256
”¢11-6-A6	2315	3062.97	A	N22	K212	1256	1316
”¢11-6-A6	2315	3062.97	A	N21	K3	1316	1374
”¢11-6-A6	2315	3062.97	A	N21	K31	1374	1438
”¢11-6-A6	2315	3062.97	A	N21	K32	1438	1483
”¢11-6-A6	2315	3062.97	A	N21	K33	1483	1532
”¢11-6-A6	2315	3062.97	A	N21	K34	1532	1584
”¢11-6-A6	2315	3062.97	A	N21	K35	1584	1660
”¢11-6-A6	2315	3062.97	YX	N21	YX	1660	2315
”¢11-8	1870	3030.41	B	N22	K26	444	557
”¢11-8	1870	3030.41	A	N22	K23	557	690
”¢11-8	1870	3030.41	A	N22	K24	690	812
”¢11-8	1870	3030.41	A	N22	K25	812	896
”¢11-8	1870	3030.41	A	N22	K26	896	950
”¢11-8	1870	3030.41	A	N22	K27	950	996
”¢11-8	1870	3030.41	A	N22	K28	996	1069
”¢11-8	1870	3030.41	A	N22	K29	1069	1127
”¢11-8	1870	3030.41	A	N22	K210	1127	1186
”¢11-8	1870	3030.41	A	N22	K211	1186	1237
”¢11-8	1870	3030.41	A	N22	K212	1237	1310
”¢11-8	1870	3030.41	A	N21	K3	1310	1378
”¢11-8	1870	3030.41	A	N21	K31	1378	1450
”¢11-8	1870	3030.41	A	N21	K32	1450	1514
”¢11-8	1870	3030.41	A	N21	K33	1514	1870
”¢1-1-B2	1145	3096.2	C	N22	K26	526	571
”¢1-1-B2	1145	3096.2	C	N22	K27	571	619
”¢1-1-B2	1145	3096.2	C	N22	K28	619	683
”¢1-1-B2	1145	3096.2	C	N22	K29	683	732
”¢1-1-B2	1145	3096.2	C	N22	K210	732	793
”¢1-1-B2	1145	3096.2	C	N22	K211	793	833
”¢1-1-B2	1145	3096.2	C	N22	K212	833	895
”¢1-1-B2	1145	3096.2	C	N21	K3	895	949
”¢1-1-B2	1145	3096.2	C	N21	K31	949	1010
”¢1-1-B2	1145	3096.2	C	N21	K32	1010	1066
”¢1-1-B2	1145	3096.2	B	N22	K210	1066	1110
”¢1-1-B2	1145	3096.2	B	N22	K211	1110	1145
”¢1-1-B3	1235	3096.2	C	N22	K26	526	570
”¢1-1-B3	1235	3096.2	C	N22	K27	570	619
”¢1-1-B3	1235	3096.2	C	N22	K28	619	682
”¢1-1-B3	1235	3096.2	C	N22	K29	682	730
”¢1-1-B3	1235	3096.2	C	N22	K210	730	790
”¢1-1-B3	1235	3096.2	C	N22	K211	790	832
”¢1-1-B3	1235	3096.2	C	N22	K212	832	895
”¢1-1-B3	1235	3096.2	C	N21	K3	895	947
”¢1-1-B3	1235	3096.2	C	N21	K31	947	1009
”¢1-1-B3	1235	3096.2	C	N21	K32	1009	1062
”¢1-1-B3	1235	3096.2	B	N22	K210	1062	1111
”¢1-1-B3	1235	3096.2	B	N22	K211	1111	1144
”¢1-1-B3	1235	3096.2	B	N22	K212	1144	1202
”¢1-1-B3	1235	3096.2	B	N21	K3	1202	1235
”¢1-1-B5	1482	3096.2	C	N22	K26	524	569
”¢1-1-B5	1482	3096.2	C	N22	K27	569	619
”¢1-1-B5	1482	3096.2	C	N22	K28	619	679
”¢1-1-B5	1482	3096.2	C	N22	K29	679	730
”¢1-1-B5	1482	3096.2	C	N22	K210	730	791
”¢1-1-B5	1482	3096.2	C	N22	K211	791	831
”¢1-1-B5	1482	3096.2	C	N22	K212	831	895
”¢1-1-B5	1482	3096.2	C	N21	K3	895	949
”¢1-1-B5	1482	3096.2	C	N21	K31	949	1009
”¢1-1-B5	1482	3096.2	C	N21	K32	1009	1063
”¢1-1-B5	1482	3096.2	B	N22	K210	1063	1113
”¢1-1-B5	1482	3096.2	B	N22	K211	1113	1145
”¢1-1-B5	1482	3096.2	B	N22	K212	1145	1202
”¢1-1-B5	1482	3096.2	B	N21	K3	1202	1261
”¢1-1-B5	1482	3096.2	B	N21	K31	1261	1306
”¢1-1-B5	1482	3096.2	B	N21	K32	1306	1356
”¢1-1-B5	1482	3096.2	B	N21	K33	1356	1403
”¢1-1-B5	1482	3096.2	B	N21	K34	1403	1447
”¢1-1-B5	1482	3096.2	B	N21	K35	1447	1482
”¢1-2-B1	1030	3085.37	C	N22	K26	521	564
”¢1-2-B1	1030	3085.37	C	N22	K27	564	610
”¢1-2-B1	1030	3085.37	C	N22	K28	610	671
”¢1-2-B1	1030	3085.37	C	N22	K29	671	720
”¢1-2-B1	1030	3085.37	C	N22	K210	720	782
”¢1-2-B1	1030	3085.37	C	N22	K211	782	822
”¢1-2-B1	1030	3085.37	C	N22	K212	822	880
”¢1-2-B1	1030	3085.37	C	N21	K3	880	905
”¢1-2-B1	1030	3085.37	C	N22	K31	905	935
”¢1-2-B1	1030	3085.37	B	N22	K28	935	997
”¢1-2-B1	1030	3085.37	B	N22	K29	997	1030
”¢1-2-B2	1140	3090.37	C	N22	K26	522	565
”¢1-2-B2	1140	3090.37	C	N22	K27	565	611
”¢1-2-B2	1140	3090.37	C	N22	K28	611	672
”¢1-2-B2	1140	3090.37	C	N22	K29	672	722
”¢1-2-B2	1140	3090.37	C	N22	K210	722	783
”¢1-2-B2	1140	3090.37	C	N22	K211	783	823
”¢1-2-B2	1140	3090.37	C	N22	K212	823	882
”¢1-2-B2	1140	3090.37	C	N21	K3	882	936
”¢1-2-B2	1140	3090.37	B	N22	K28	936	997
”¢1-2-B2	1140	3090.37	B	N22	K29	997	1045
”¢1-2-B2	1140	3090.37	B	N22	K210	1045	1109
”¢1-2-B2	1140	3090.37	B	N22	K211	1109	1140
”¢1-2-B3	1230	3090.37	C	N22	K26	518	561
”¢1-2-B3	1230	3090.37	C	N22	K27	561	608
”¢1-2-B3	1230	3090.37	C	N22	K28	608	668
”¢1-2-B3	1230	3090.37	C	N22	K29	668	717
”¢1-2-B3	1230	3090.37	C	N22	K210	717	778
”¢1-2-B3	1230	3090.37	C	N22	K211	778	820
”¢1-2-B3	1230	3090.37	C	N22	K212	820	877
”¢1-2-B3	1230	3090.37	C	N21	K3	877	931
”¢1-2-B3	1230	3090.37	B	N22	K28	931	996
”¢1-2-B3	1230	3090.37	B	N22	K29	996	1043
”¢1-2-B3	1230	3090.37	B	N22	K210	1043	1106
”¢1-2-B3	1230	3090.37	B	N22	K211	1106	1143
”¢1-2-B3	1230	3090.37	B	N22	K212	1143	1200
”¢1-2-B3	1230	3090.37	B	N21	K3	1200	1230
”¢1-2-B4	1355	3090.37	C	N22	K26	518	561
”¢1-2-B4	1355	3090.37	C	N22	K27	561	608
”¢1-2-B4	1355	3090.37	C	N22	K28	608	669
”¢1-2-B4	1355	3090.37	C	N22	K29	669	718
”¢1-2-B4	1355	3090.37	C	N22	K210	718	779
”¢1-2-B4	1355	3090.37	C	N22	K211	779	820
”¢1-2-B4	1355	3090.37	C	N22	K212	820	878
”¢1-2-B4	1355	3090.37	C	N21	K3	878	934
”¢1-2-B4	1355	3090.37	B	N22	K28	934	995
”¢1-2-B4	1355	3090.37	B	N22	K29	995	1043
”¢1-2-B4	1355	3090.37	B	N22	K210	1043	1106
”¢1-2-B4	1355	3090.37	B	N22	K211	1106	1142
”¢1-2-B4	1355	3090.37	B	N22	K212	1142	1198
”¢1-2-B4	1355	3090.37	B	N21	K3	1198	1261
”¢1-2-B4	1355	3090.37	B	N21	K31	1261	1319
”¢1-2-B4	1355	3090.37	B	N21	K32	1319	1355
”¢13-1-B4	1400	3138.7	C	N22	K26	539	595
”¢13-1-B4	1400	3138.7	C	N22	K27	595	644
”¢13-1-B4	1400	3138.7	C	N22	K28	644	712
”¢13-1-B4	1400	3138.7	C	N22	K29	712	761
”¢13-1-B4	1400	3138.7	C	N22	K210	761	820
”¢13-1-B4	1400	3138.7	C	N22	K211	820	859
”¢13-1-B4	1400	3138.7	C	N22	K212	859	922
”¢13-1-B4	1400	3138.7	C	N21	K3	922	980
”¢13-1-B4	1400	3138.7	C	N21	K31	980	1036
”¢13-1-B4	1400	3138.7	C	N21	K32	1036	1082
”¢13-1-B4	1400	3138.7	C	N21	K33	1082	1136
”¢13-1-B4	1400	3138.7	C	N21	K34	1136	1183
”¢13-1-B4	1400	3138.7	C	N21	K35	1183	1250
”¢13-1-B4	1400	3138.7	C	N21	K36	1250	1313
”¢13-1-B4	1400	3138.7	B	N21	K3	1313	1318
”¢13-1-B4	1400	3138.7	B	N21	K31	1318	1380
”¢13-1-B4	1400	3138.7	B	N21	K32	1380	1400
”¢13-1-B5	1560	3138.7	C	N22	K26	538.5	593
”¢13-1-B5	1560	3138.7	C	N22	K27	593	643
”¢13-1-B5	1560	3138.7	C	N22	K28	643	712
”¢13-1-B5	1560	3138.7	C	N22	K29	712	761
”¢13-1-B5	1560	3138.7	C	N22	K210	761	819
”¢13-1-B5	1560	3138.7	C	N22	K211	819	856
”¢13-1-B5	1560	3138.7	C	N22	K212	856	919
”¢13-1-B5	1560	3138.7	C	N21	K3	919	979
”¢13-1-B5	1560	3138.7	C	N21	K31	979	1036
”¢13-1-B5	1560	3138.7	C	N21	K32	1036	1080
”¢13-1-B5	1560	3138.7	C	N21	K33	1080	1131
”¢13-1-B5	1560	3138.7	C	N21	K34	1131	1177
”¢13-1-B5	1560	3138.7	C	N21	K35	1177	1244
”¢13-1-B5	1560	3138.7	C	N21	K36	1244	1306
”¢13-1-B5	1560	3138.7	B	N21	K3	1306	1311
”¢13-1-B5	1560	3138.7	B	N21	K31	1311	1368
”¢13-1-B5	1560	3138.7	B	N21	K32	1368	1419
”¢13-1-B5	1560	3138.7	B	N21	K33	1419	1466
”¢13-1-B5	1560	3138.7	B	N21	K34	1466	1500
”¢13-1-B5	1560	3138.7	B	N21	K34	1500	1533
”¢13-1-B5	1560	3138.7	B	N21	K35	1533	1560
”¢13-1-B6	1900	3138.7	C	N22	K26	538	591
