日期    	星期	开盘涨�?收盘涨幅	T+1涨幅	T+2涨幅	距离上次交易日间隔天�?区间涨幅		
1994/10/7	5	-3.36	11.74	-5.3	0.88	3	-6.71
1994/10/26	3	-2.5	-7.82	2.52	-3.72	13	-7.01
1994/11/2	3	-1	-0.88	7.41	-7.05	5	-2.69
1994/11/7	1	-2.64	1.18	5.19	2	3	1.02
1994/11/9	3	-2.5	2	-1.69	2.74	2	7.3
1994/11/15	2	-2.19	-3.81	0.17	-1.34	4	-2.55
1995/1/3	2	-1.57	-1.23	2.18	-1.06	34	-9.29
1995/2/23	4	-1.89	-0.93	-5.21	0.51	32	-7.93
1995/4/24	1	-1.35	-2.56	0.02	-2.91	42	5.2
1995/4/27	4	-3.69	-4.74	1.15	-0.15	3	-7.49
1995/5/23	2	-11.78	-16.39	-1.12	-6.08	17	30.87
1995/5/26	5	-2.22	4.42	-2.34	0.06	3	-3.02
1995/5/31	3	-1.38	-1.48	1.16	1.15	3	-3.73
1995/6/6	2	-1.92	-0.36	3.96	-2.86	4	-1.62
1996/1/10	3	-1.13	-1.97	-0.36	0.27	153	-20.53
1996/4/30	2	-1.39	-7.78	-3.92	-0.67	69	24.38
1996/6/20	4	-1	-0.42	0.32	-0.35	36	16.51
1996/6/25	2	-3.61	-1.6	2.67	0.62	3	-1.63
1996/8/26	1	-1.81	-3.81	1.86	1.19	44	-0.97
1996/10/22	2	-1.19	1.25	3.52	-0.29	38	26.31
1996/11/1	5	-4.25	-4.7	1.54	-1.81	8	-4.68
1996/11/22	5	-1.3	1.18	2.6	-0.92	15	2.26
1996/12/13	5	-1.09	-5.7	-9.91	-9.44	15	16.62
1997/2/20	4	-9.61	0.25	5.39	-0.74	38	-13.06
1997/5/14	3	-1.14	-5.81	2.79	-7.18	57	42.91
1997/5/22	4	-7.82	-8.83	1.54	-0.22	6	-10.44
1997/6/6	5	-6.54	-6.24	-0.03	-2.6	11	3.24
1997/6/13	5	-4.76	2.57	1.41	-1.23	5	-2.46
1998/1/13	2	-1.23	-4.83	2.96	1.1	145	-6.14
1999/5/10	1	-1.19	-4.36	2.19	0.42	316	-8.2
2000/2/18	5	-1.02	1.67	0.54	-2.67	186	55.62
2000/3/7	2	-1.14	0.82	1.84	0.37	12	1.6
2000/3/14	2	-2.21	-2.52	-0.23	-4.4	5	-0.56
2001/9/12	3	-2.24	-0.6	-0.69	-1.17	365	9.92
2007/1/5	5	-1.74	-2.74	2.49	3.72	1279	42.57
2007/2/28	3	-1.34	3.94	-2.91	1.23	33	9.08
2007/3/14	3	-1.05	-1.97	1.56	-0.72	10	0.88
2007/3/19	1	-2.26	2.87	0.59	0.83	3	3.72
2007/5/30	3	-5.71	-6.5	1.4	-2.65	47	34.46
2007/6/26	2	-1.97	0.82	2.65	-4.03	19	-1.97
2007/6/29	5	-2.3	-2.39	0.41	1.65	3	-3.84
2007/7/5	4	-1.22	-5.25	4.58	2.69	4	-5.36
2007/8/22	3	-1.59	0.5	1.05	1.49	34	37.73
2007/10/22	1	-1.29	-2.59	1.87	1.21	38	13.8
2007/11/2	5	-1.72	-2.31	-2.48	-1.74	9	1.95
2007/11/22	4	-1.92	-4.41	0.96	-1.46	14	-13.74
2007/12/10	1	-1.59	1.38	0.25	-1.54	12	3.57
2008/1/22	2	-1.96	-7.22	3.14	0.31	29	-11.67
2008/2/5	2	-1.06	-1.55	-2.37	1.37	10	0.88
2008/3/7	5	-1.04	-1.39	-3.59	0.47	18	-6.5
2008/3/20	4	-1.07	1.13	-0.2	-4.49	9	-11.54
2008/3/25	2	-1.83	0.09	-0.63	-5.42	3	-4.59
2008/3/27	4	-1.82	-5.42	4.94	-3	2	-6.01
2008/4/14	1	-2.11	-5.62	1.57	-1.69	11	-3.37
2008/4/22	2	-1.29	0.99	4.15	9.29	6	-4.52
2008/5/12	1	-1.8	0.37	-1.84	2.73	12	15.22
2008/6/10	2	-3.83	-7.73	-1.57	-2.21	20	-15.29
2008/6/23	1	-1.82	-2.52	1.54	3.64	9	-10.15
2008/7/3	4	-1.54	1.95	-1.24	4.59	8	-2.06
2008/7/10	4	-1.4	-1.54	-0.65	0.76	5	6.36
2008/7/25	5	-1.19	-1.55	1.32	-1.82	11	-0.36
2008/7/29	2	-1.21	-1.82	-0.48	-2.15	2	-0.52
2008/8/26	2	-1.18	-2.62	-0.34	0.34	20	-17.55
2008/9/23	2	-1.22	-1.56	0.69	3.64	19	-6.32
2008/10/6	1	-1.15	-5.23	-0.73	-3.04	4	-1.26
2008/10/10	5	-3.79	-3.57	3.65	-2.71	4	-7.97
2008/10/15	3	-1.06	-1.12	-4.25	1.08	3	-0.29
2008/10/22	3	-1.32	-3.2	-1.07	-1.92	5	-4.96
2008/10/27	1	-1.65	-6.32	2.81	-2.94	3	-9.1
2008/11/6	4	-2.28	-2.44	1.75	7.27	8	-0.33
2008/12/24	3	-1.25	-1.76	-0.61	-0.05	34	8.5
2009/1/8	4	-1.76	-2.38	1.42	-0.24	9	0.77
2009/3/6	5	-1.81	-1.26	-3.39	1.88	36	16.76
2009/3/10	2	-1.02	1.88	-0.91	-0.24	2	-1.57
2009/3/31	2	-1.87	0.64	1.47	0.72	15	9.94
2009/5/14	4	-1.21	-0.9	0.2	0.28	30	11.24
2009/6/23	2	-1.48	-0.12	1.02	0.09	26	9.58
2009/11/2	1	-2.07	2.7	1.22	0.46	88	6.36
2009/11/27	5	-1.06	-2.36	3.2	1.25	19	0.64
2010/1/22	5	-1.27	-0.96	-1.09	-2.42	39	1.04
2011/8/5	5	-2.38	-2.15	-3.79	-0.03	372	-16.05
2011/8/11	4	-1.58	1.27	0.45	1.3	4	-1.71
2011/8/19	5	-1.56	-0.98	-0.73	1.52	6	-1.83
2011/9/13	2	-1.2	-1.06	0.55	-0.23	16	-2.49
2011/11/10	4	-1.04	-1.8	0.06	1.92	37	0.33
2012/6/4	1	-1.11	-2.73	0.15	-0.1	135	-6.9
2013/3/28	4	-1.2	-2.82	0.01	-0.1	199	-3.13
2013/4/8	1	-1.31	-0.62	0.64	0.02	5	-1.1
2013/7/8	1	-1.2	-2.44	0.37	2.17	59	-11.45
2014/12/8	1	-1.02	2.81	-5.43	2.93	347	54.23
2014/12/23	2	-1.35	-3.03	-1.98	3.36	11	0.41
2015/1/19	1	-5.53	-7.7	1.82	4.74	17	2.76
2015/2/2	1	-1.94	-2.56	2.45	-0.96	10	0.38
2015/4/24	5	-1.33	-0.47	3.04	-1.13	53	40.45
2015/6/10	3	-1.26	-0.15	0.3	0.87	32	16.21
2015/6/16	2	-1.16	-3.47	1.65	-3.67	4	-4.28
2015/6/26	5	-2.82	-7.4	-3.34	5.53	7	-14.21
2015/6/30	2	-1.14	5.53	-5.23	-3.48	2	2.01
2015/7/3	5	-3.04	-5.77	2.41	-1.29	3	-13.8
2015/7/7	2	-3.21	-1.29	-5.9	5.76	2	1.09
2015/7/27	1	-2.1	-8.48	-1.68	3.44	14	-0.04
2015/8/12	3	-1.19	-1.06	1.76	0.27	12	4.32
2015/8/19	3	-2.7	1.23	-3.42	-4.27	5	-2.37
2015/9/10	4	-1.62	-1.39	0.07	-2.67	14	-15.71
2015/9/15	2	-2.28	-3.52	4.89	-2.1	3	-6.03
2015/9/23	3	-1.5	-2.19	0.86	-1.6	6	3.68
2016/1/7	4	-1.55	-7.04	1.97	-5.33	70	0.29
2016/1/11	1	-1.71	-5.33	0.2	-2.42	2	-3.47
2016/1/14	4	-2.56	1.97	-3.55	0.44	3	-0.3
2016/1/26	2	-1.05	-6.42	-0.52	-2.92	8	-8.57
2016/2/15	1	-2.84	-0.63	3.29	1.08	9	-0.13
