井号	深度	方位角	井斜角
方4-斜3	672.4	243.378	0.514
方4-斜3	672.45	243.813	0.512
方4-斜3	672.5	244.246	0.511
方4-斜3	672.55	244.678	0.51
方4-斜3	672.6	245.108	0.508
方4-斜3	672.65	245.537	0.507
方4-斜3	672.7	245.963	0.506
方4-斜3	672.75	246.387	0.504
方4-斜3	672.8	246.81	0.503
方4-斜3	672.85	247.23	0.502
方4-斜3	672.9	247.647	0.501
方4-斜3	672.95	248.063	0.499
方4-斜3	673	248.476	0.498
方4-斜3	673.05	248.886	0.497
方4-斜3	673.1	249.294	0.495
方4-斜3	673.15	249.699	0.494
方4-斜3	673.2	250.102	0.493
方4-斜3	673.25	250.501	0.492
方4-斜3	673.3	250.898	0.49
方4-斜3	673.35	251.292	0.489
方4-斜3	673.4	251.683	0.488
方4-斜3	673.45	252.071	0.486
方4-斜3	673.5	252.456	0.485
方4-斜3	673.55	252.838	0.484
方4-斜3	673.6	253.217	0.483
方4-斜3	673.65	253.593	0.481
方4-斜3	673.7	253.966	0.48
方4-斜3	673.75	254.336	0.479
方4-斜3	673.8	254.703	0.478
方4-斜3	673.85	255.067	0.476
方4-斜3	673.9	255.428	0.475
方4-斜3	673.95	255.786	0.474
方4-斜3	674	256.141	0.472
方4-斜3	674.05	256.494	0.471
方4-斜3	674.1	256.843	0.47
方4-斜3	674.15	257.191	0.469
方4-斜3	674.2	257.536	0.468
方4-斜3	674.25	257.878	0.466
方4-斜3	674.3	258.218	0.465
方4-斜3	674.35	258.557	0.464
方4-斜3	674.4	258.893	0.463
方4-斜3	674.45	259.227	0.461
方4-斜3	674.5	259.56	0.46
方4-斜3	674.55	259.891	0.459
方4-斜3	674.6	260.221	0.458
方4-斜3	674.65	260.55	0.457
方4-斜3	674.7	260.877	0.455
方4-斜3	674.75	261.204	0.454
方4-斜3	674.8	261.53	0.453
方4-斜3	674.85	261.856	0.452
方4-斜3	674.9	262.181	0.451
方4-斜3	674.95	262.506	0.449
方4-斜3	675	262.832	0.448
方4-斜3	675.05	263.157	0.447
方4-斜3	675.1	263.483	0.446
方4-斜3	675.15	263.809	0.445
方4-斜3	675.2	264.136	0.444
方4-斜3	675.25	264.464	0.443
方4-斜3	675.3	264.793	0.442
方4-斜3	675.35	265.123	0.441
方4-斜3	675.4	265.454	0.439
方4-斜3	675.45	265.786	0.438
方4-斜3	675.5	266.12	0.437
方4-斜3	675.55	266.456	0.436
方4-斜3	675.6	266.793	0.435
方4-斜3	675.65	267.131	0.434
方4-斜3	675.7	267.472	0.433
方4-斜3	675.75	267.814	0.433
方4-斜3	675.8	268.157	0.432
方4-斜3	675.85	268.503	0.431
方4-斜3	675.9	268.85	0.43
方4-斜3	675.95	269.199	0.429
方4-斜3	676	269.549	0.428
方4-斜3	676.05	269.901	0.427
方4-斜3	676.1	270.255	0.427
方4-斜3	676.15	270.609	0.426
方4-斜3	676.2	270.965	0.425
方4-斜3	676.25	271.321	0.424
方4-斜3	676.3	271.679	0.424
方4-斜3	676.35	272.037	0.423
方4-斜3	676.4	272.395	0.422
方4-斜3	676.45	272.754	0.422
方4-斜3	676.5	273.113	0.421
方4-斜3	676.55	273.471	0.421
方4-斜3	676.6	273.828	0.42
方4-斜3	676.65	274.185	0.42
方4-斜3	676.7	274.54	0.419
方4-斜3	676.75	274.894	0.419
方4-斜3	676.8	275.245	0.419
方4-斜3	676.85	275.595	0.418
方4-斜3	676.9	275.942	0.418
方4-斜3	676.95	276.285	0.418
方4-斜3	677	276.626	0.417
方4-斜3	677.05	276.962	0.417
方4-斜3	677.1	277.294	0.417
方4-斜3	677.15	277.622	0.417
方4-斜3	677.2	277.944	0.417
方4-斜3	677.25	278.261	0.417
方4-斜3	677.3	278.572	0.417
方4-斜3	677.35	278.876	0.417
方4-斜3	677.4	279.174	0.417
方4-斜3	677.45	279.464	0.417
方4-斜3	677.5	279.747	0.417
方4-斜3	677.55	280.022	0.418
方4-斜3	677.6	280.288	0.418
方4-斜3	677.65	280.545	0.418
方4-斜3	677.7	280.793	0.418
方4-斜3	677.75	281.031	0.419
方4-斜3	677.8	281.259	0.419
方4-斜3	677.85	281.477	0.42
方4-斜3	677.9	281.684	0.42
方4-斜3	677.95	281.879	0.421
方4-斜3	678	282.063	0.421
方4-斜3	678.05	282.236	0.422
方4-斜3	678.1	282.396	0.422
方4-斜3	678.15	282.544	0.423
方4-斜3	678.2	282.679	0.424
方4-斜3	678.25	282.801	0.425
方4-斜3	678.3	282.91	0.425
方4-斜3	678.35	283.006	0.426
方4-斜3	678.4	283.089	0.427
方4-斜3	678.45	283.158	0.428
方4-斜3	678.5	283.213	0.429
方4-斜3	678.55	283.255	0.43
方4-斜3	678.6	283.282	0.431
方4-斜3	678.65	283.296	0.432
方4-斜3	678.7	283.296	0.433
方4-斜3	678.75	283.282	0.434
方4-斜3	678.8	283.254	0.435
方4-斜3	678.85	283.213	0.436
方4-斜3	678.9	283.158	0.437
方4-斜3	678.95	283.089	0.438
方4-斜3	679	283.007	0.44
方4-斜3	679.05	282.911	0.441
方4-斜3	679.1	282.803	0.442
方4-斜3	679.15	282.682	0.443
方4-斜3	679.2	282.548	0.445
方4-斜3	679.25	282.402	0.446
方4-斜3	679.3	282.244	0.447
方4-斜3	679.35	282.075	0.449
方4-斜3	679.4	281.894	0.45
方4-斜3	679.45	281.702	0.451
方4-斜3	679.5	281.499	0.453
方4-斜3	679.55	281.286	0.454
方4-斜3	679.6	281.064	0.456
方4-斜3	679.65	280.832	0.457
方4-斜3	679.7	280.591	0.459
方4-斜3	679.75	280.341	0.46
方4-斜3	679.8	280.084	0.462
方4-斜3	679.85	279.818	0.463
方4-斜3	679.9	279.546	0.465
方4-斜3	679.95	279.267	0.466
方4-斜3	680	278.982	0.468
方4-斜3	680.05	278.692	0.469
方4-斜3	680.1	278.396	0.471
方4-斜3	680.15	278.096	0.472
方4-斜3	680.2	277.792	0.474
方4-斜3	680.25	277.484	0.475
方4-斜3	680.3	277.173	0.477
方4-斜3	680.35	276.86	0.478
方4-斜3	680.4	276.545	0.48
方4-斜3	680.45	276.228	0.481
方4-斜3	680.5	275.911	0.483
方4-斜3	680.55	275.593	0.484
方4-斜3	680.6	275.275	0.486
方4-斜3	680.65	274.957	0.487
方4-斜3	680.7	274.641	0.488
方4-斜3	680.75	274.326	0.49
方4-斜3	680.8	274.014	0.491
方4-斜3	680.85	273.704	0.493
方4-斜3	680.9	273.397	0.494
方4-斜3	680.95	273.093	0.496
方4-斜3	681	272.793	0.497
方4-斜3	681.05	272.498	0.498
方4-斜3	681.1	272.207	0.5
方4-斜3	681.15	271.921	0.501
方4-斜3	681.2	271.641	0.502
方4-斜3	681.25	271.367	0.504
方4-斜3	681.3	271.1	0.505
方4-斜3	681.35	270.839	0.506
方4-斜3	681.4	270.585	0.508
方4-斜3	681.45	270.338	0.509
方4-斜3	681.5	270.099	0.51
方4-斜3	681.55	269.868	0.511
方4-斜3	681.6	269.645	0.512
方4-斜3	681.65	269.431	0.514
方4-斜3	681.7	269.225	0.515
方4-斜3	681.75	269.029	0.516
方4-斜3	681.8	268.841	0.517
方4-斜3	681.85	268.664	0.518
方4-斜3	681.9	268.495	0.519
方4-斜3	681.95	268.337	0.52
方4-斜3	682	268.188	0.521
方4-斜3	682.05	268.05	0.522
方4-斜3	682.1	267.922	0.523
方4-斜3	682.15	267.804	0.524
方4-斜3	682.2	267.696	0.525
方4-斜3	682.25	267.599	0.526
方4-斜3	682.3	267.512	0.527
方4-斜3	682.35	267.435	0.528
方4-斜3	682.4	267.369	0.529
方4-斜3	682.45	267.314	0.53
方4-斜3	682.5	267.268	0.531
方4-斜3	682.55	267.233	0.532
方4-斜3	682.6	267.209	0.533
方4-斜3	682.65	267.194	0.534
方4-斜3	682.7	267.189	0.534
方4-斜3	682.75	267.194	0.535
方4-斜3	682.8	267.208	0.536
方4-斜3	682.85	267.232	0.537
方4-斜3	682.9	267.266	0.538
方4-斜3	682.95	267.308	0.539
方4-斜3	683	267.358	0.539
方4-斜3	683.05	267.485	0.541
方4-斜3	683.1	267.56	0.542
方4-斜3	683.15	267.643	0.542
方4-斜3	683.2	267.732	0.543
方4-斜3	683.25	267.829	0.544
方4-斜3	683.3	267.932	0.545
方4-斜3	683.35	268.041	0.545
方4-斜3	683.4	268.156	0.546
方4-斜3	683.45	268.276	0.547
方4-斜3	683.5	268.401	0.547
方4-斜3	683.55	268.53	0.548
方4-斜3	683.6	268.663	0.549
方4-斜3	683.65	268.8	0.549
方4-斜3	683.7	268.94	0.55
方4-斜3	683.75	269.082	0.551
方4-斜3	683.8	269.227	0.552
方4-斜3	683.85	269.373	0.552
方4-斜3	683.9	269.521	0.553
方4-斜3	683.95	269.669	0.554
方4-斜3	684	269.818	0.554
方4-斜3	684.05	269.967	0.555
方4-斜3	684.1	270.116	0.556
方4-斜3	684.15	270.263	0.556
方4-斜3	684.2	270.41	0.557
方4-斜3	684.25	270.555	0.558
方4-斜3	684.3	270.697	0.559
方4-斜3	684.35	270.838	0.559
方4-斜3	684.4	270.975	0.56
方4-斜3	684.45	271.11	0.561
方4-斜3	684.5	271.241	0.562
方4-斜3	684.55	271.369	0.562
方4-斜3	684.6	271.493	0.563
方4-斜3	684.65	271.612	0.564
方4-斜3	684.7	271.728	0.565
方4-斜3	684.75	271.838	0.565
方4-斜3	684.8	271.944	0.566
方4-斜3	684.85	272.045	0.567
方4-斜3	684.9	272.141	0.568
方4-斜3	684.95	272.232	0.568
方4-斜3	685	272.317	0.569
方4-斜3	685.05	272.397	0.57
方4-斜3	685.1	272.472	0.571
方4-斜3	685.15	272.542	0.572
方4-斜3	685.2	272.606	0.573
方4-斜3	685.25	272.665	0.573
方4-斜3	685.3	272.718	0.574
方4-斜3	685.35	272.767	0.575
方4-斜3	685.4	272.81	0.576
方4-斜3	685.45	272.848	0.577
方4-斜3	685.5	272.881	0.578
方4-斜3	685.55	272.909	0.579
方4-斜3	685.6	272.933	0.579
方4-斜3	685.65	272.952	0.58
方4-斜3	685.7	272.967	0.581
方4-斜3	685.75	272.978	0.582
方4-斜3	685.8	272.984	0.583
方4-斜3	685.85	272.987	0.584
方4-斜3	685.9	272.987	0.585
方4-斜3	685.95	272.983	0.586
方4-斜3	686	272.975	0.587
方4-斜3	686.05	272.965	0.587
方4-斜3	686.1	272.952	0.588
方4-斜3	686.15	272.937	0.589
方4-斜3	686.2	272.919	0.59
方4-斜3	686.25	272.899	0.591
方4-斜3	686.3	272.877	0.592
方4-斜3	686.35	272.853	0.593
方4-斜3	686.4	272.827	0.594
方4-斜3	686.45	272.8	0.594
方4-斜3	686.5	272.772	0.595
方4-斜3	686.55	272.743	0.596
方4-斜3	686.6	272.713	0.597
方4-斜3	686.65	272.682	0.598
方4-斜3	686.7	272.65	0.599
方4-斜3	686.75	272.618	0.6
方4-斜3	686.8	272.585	0.6
方4-斜3	686.85	272.552	0.601
方4-斜3	686.9	272.519	0.602
方4-斜3	686.95	272.486	0.603
方4-斜3	687	272.452	0.603
方4-斜3	687.05	272.419	0.604
方4-斜3	687.1	272.386	0.605
方4-斜3	687.15	272.352	0.606
方4-斜3	687.2	272.319	0.606
方4-斜3	687.25	272.287	0.607
方4-斜3	687.3	272.254	0.608
方4-斜3	687.35	272.222	0.608
方4-斜3	687.4	272.19	0.609
方4-斜3	687.45	272.158	0.609
方4-斜3	687.5	272.127	0.61
方4-斜3	687.55	272.096	0.61
方4-斜3	687.6	272.066	0.611
方4-斜3	687.65	272.036	0.611
方4-斜3	687.7	272.007	0.612
方4-斜3	687.75	271.978	0.612
方4-斜3	687.8	271.949	0.613
方4-斜3	687.85	271.921	0.613
方4-斜3	687.9	271.893	0.613
方4-斜3	687.95	271.866	0.614
方4-斜3	688	271.839	0.614
方4-斜3	688.05	271.813	0.614
方4-斜3	688.1	271.788	0.615
方4-斜3	688.15	271.763	0.615
方4-斜3	688.2	271.738	0.615
方4-斜3	688.25	271.714	0.615
方4-斜3	688.3	271.691	0.615
方4-斜3	688.35	271.668	0.615
方4-斜3	688.4	271.646	0.616
方4-斜3	688.45	271.625	0.616
方4-斜3	688.5	271.604	0.616
方4-斜3	688.55	271.584	0.616
方4-斜3	688.6	271.564	0.616
方4-斜3	688.65	271.545	0.615
方4-斜3	688.7	271.527	0.615
方4-斜3	688.75	271.51	0.615
方4-斜3	688.8	271.494	0.615
方4-斜3	688.85	271.478	0.615
方4-斜3	688.9	271.463	0.615
方4-斜3	688.95	271.449	0.615
方4-斜3	689	271.436	0.614
方4-斜3	689.05	271.423	0.614
方4-斜3	689.1	271.412	0.614
方4-斜3	689.15	271.401	0.613
方4-斜3	689.2	271.391	0.613
方4-斜3	689.25	271.382	0.613
方4-斜3	689.3	271.374	0.612
方4-斜3	689.35	271.367	0.612
方4-斜3	689.4	271.36	0.611
方4-斜3	689.45	271.355	0.611
方4-斜3	689.5	271.35	0.611
方4-斜3	689.55	271.346	0.61
方4-斜3	689.6	271.343	0.61
方4-斜3	689.65	271.341	0.609
方4-斜3	689.7	271.34	0.609
方4-斜3	689.75	271.34	0.608
方4-斜3	689.8	271.341	0.607
方4-斜3	689.85	271.342	0.607
方4-斜3	689.9	271.345	0.606
方4-斜3	689.95	271.349	0.606
方4-斜3	690	271.353	0.605
方4-斜3	690.05	271.359	0.604
方4-斜3	690.1	271.365	0.604
方4-斜3	690.15	271.373	0.603
方4-斜3	690.2	271.382	0.603
方4-斜3	690.25	271.393	0.602
方4-斜3	690.3	271.404	0.601
方4-斜3	690.35	271.418	0.601
方4-斜3	690.4	271.432	0.6
方4-斜3	690.45	271.448	0.599
方4-斜3	690.5	271.466	0.599
方4-斜3	690.55	271.486	0.598
方4-斜3	690.6	271.508	0.597
方4-斜3	690.65	271.532	0.597
方4-斜3	690.7	271.558	0.596
方4-斜3	690.75	271.587	0.595
方4-斜3	690.8	271.618	0.595
方4-斜3	690.85	271.652	0.594
方4-斜3	690.9	271.688	0.593
方4-斜3	690.95	271.728	0.593
方4-斜3	691	271.772	0.592
方4-斜3	691.05	271.818	0.592
方4-斜3	691.1	271.869	0.591
方4-斜3	691.15	271.923	0.59
方4-斜3	691.2	271.982	0.59
方4-斜3	691.25	272.045	0.589
方4-斜3	691.3	272.112	0.589
方4-斜3	691.35	272.262	0.587
方4-斜3	691.4	272.344	0.587
方4-斜3	691.45	272.432	0.586
方4-斜3	691.5	272.526	0.586
方4-斜3	691.55	272.625	0.585
方4-斜3	691.6	272.731	0.585
方4-斜3	691.65	272.842	0.584
方4-斜3	691.7	272.961	0.584
方4-斜3	691.75	273.085	0.584
方4-斜3	691.8	273.217	0.583
方4-斜3	691.85	273.356	0.583
方4-斜3	691.9	273.501	0.582
方4-斜3	691.95	273.654	0.582
方4-斜3	692	273.815	0.581
方4-斜3	692.05	273.982	0.581
方4-斜3	692.1	274.158	0.581
方4-斜3	692.15	274.341	0.58
方4-斜3	692.2	274.532	0.58
方4-斜3	692.25	274.73	0.58
方4-斜3	692.3	274.937	0.58
方4-斜3	692.35	275.151	0.579
方4-斜3	692.4	275.373	0.579
方4-斜3	692.45	275.603	0.579
方4-斜3	692.5	275.841	0.579
方4-斜3	692.55	276.087	0.578
方4-斜3	692.6	276.34	0.578
方4-斜3	692.65	276.602	0.578
方4-斜3	692.7	276.87	0.578
方4-斜3	692.75	277.147	0.578
方4-斜3	692.8	277.43	0.578
方4-斜3	692.85	277.721	0.578
方4-斜3	692.9	278.019	0.577
方4-斜3	692.95	278.324	0.577
方4-斜3	693	278.636	0.577
方4-斜3	693.05	278.955	0.577
方4-斜3	693.1	279.28	0.577
方4-斜3	693.15	279.611	0.577
方4-斜3	693.2	279.948	0.577
方4-斜3	693.25	280.291	0.577
方4-斜3	693.3	280.64	0.577
方4-斜3	693.35	280.994	0.577
方4-斜3	693.4	281.353	0.577
方4-斜3	693.45	281.717	0.577
方4-斜3	693.5	282.086	0.577
方4-斜3	693.55	282.459	0.577
方4-斜3	693.6	282.836	0.577
方4-斜3	693.65	283.217	0.577
方4-斜3	693.7	283.602	0.577
方4-斜3	693.75	283.99	0.577
方4-斜3	693.8	284.381	0.577
方4-斜3	693.85	284.775	0.577
方4-斜3	693.9	285.171	0.577
方4-斜3	693.95	285.569	0.578
方4-斜3	694	285.969	0.578
方4-斜3	694.05	286.371	0.578
方4-斜3	694.1	286.774	0.578
方4-斜3	694.15	287.179	0.578
方4-斜3	694.2	287.584	0.578
方4-斜3	694.25	287.989	0.578
方4-斜3	694.3	288.395	0.578
方4-斜3	694.35	288.801	0.578
方4-斜3	694.4	289.206	0.578
方4-斜3	694.45	289.611	0.578
方4-斜3	694.5	290.015	0.578
方4-斜3	694.55	290.417	0.578
方4-斜3	694.6	290.819	0.578
方4-斜3	694.65	291.218	0.578
方4-斜3	694.7	291.616	0.578
方4-斜3	694.75	292.012	0.578
方4-斜3	694.8	292.405	0.578
方4-斜3	694.85	292.795	0.578
方4-斜3	694.9	293.183	0.578
方4-斜3	694.95	293.567	0.578
方4-斜3	695	293.949	0.578
方4-斜3	695.05	294.326	0.578
方4-斜3	695.1	294.7	0.578
方4-斜3	695.15	295.069	0.578
方4-斜3	695.2	295.435	0.578
方4-斜3	695.25	295.796	0.578
方4-斜3	695.3	296.152	0.578
方4-斜3	695.35	296.504	0.578
方4-斜3	695.4	296.85	0.578
方4-斜3	695.45	297.192	0.578
方4-斜3	695.5	297.528	0.578
方4-斜3	695.55	297.859	0.578
方4-斜3	695.6	298.184	0.578
方4-斜3	695.65	298.504	0.578
方4-斜3	695.7	298.817	0.578
方4-斜3	695.75	299.125	0.578
方4-斜3	695.8	299.427	0.577
方4-斜3	695.85	299.722	0.577
方4-斜3	695.9	300.012	0.577
方4-斜3	695.95	300.295	0.577
方4-斜3	696	300.572	0.577
方4-斜3	696.05	300.842	0.577
方4-斜3	696.1	301.106	0.577
方4-斜3	696.15	301.364	0.577
方4-斜3	696.2	301.615	0.577
方4-斜3	696.25	301.86	0.577
方4-斜3	696.3	302.099	0.577
方4-斜3	696.35	302.331	0.577
方4-斜3	696.4	302.557	0.576
方4-斜3	696.45	302.776	0.576
方4-斜3	696.5	302.99	0.576
方4-斜3	696.55	303.197	0.576
方4-斜3	696.6	303.398	0.576
方4-斜3	696.65	303.593	0.576
方4-斜3	696.7	303.782	0.576
方4-斜3	696.75	303.966	0.576
方4-斜3	696.8	304.144	0.576
方4-斜3	696.85	304.316	0.576
方4-斜3	696.9	304.483	0.576
